sequenceID	taxonomy	locus_numeric_id	classifier	taxonomy.locus_numeric_id	organism	erv_structure	original	locus_structure	sequence_length	scaffold	orientation	extract_start	extract_end	assigned_name	subject_start	subject_end	query_start	query_end	align_len	bitscore	identity	evalue_num	evalue_exp	gap_openings
ERV-RELIK.82-Lepus_americanus-LTR	RELIK	82	ERV	RELIK.82	Lepus_americanus	solo LTR	82	LTR[RELIK(+)]	447	PVJM010011234.1	+	11291	11737	RELiK	2824	2956	47	445	133	182	84.962	1.64	56	0
ERV-RELIK.83-Lepus_americanus-LTR	RELIK	83	ERV	RELIK.83	Lepus_americanus	solo LTR	83	LTR[RELIK(-)]	447	PVJM010001096.1	-	15420	15866	RELiK	2799	2955	2	442	157	211	76.433	1.05	66	2
ERV-RELIK.61-Lepus_americanus-LTR	RELIK	61	ERV	RELIK.61	Lepus_americanus	solo LTR	84	LTR[RELIK(-)]	447	PVJM010066416.1	-	1614	2060	RELiK	2799	2956	2	445	171	138	57.31	4.98	41	5
ERV-RELIK.85-Lepus_americanus-LTR	RELIK	85	ERV	RELIK.85	Lepus_americanus	solo LTR	85	LTR[RELIK(-)]	446	PVJM010046232.1	-	1581	2026	RELiK	2808	2955	1	441	154	160	68.182	4.81	49	4
ERV-RELIK.86-Lepus_americanus-LTR	RELIK	86	ERV	RELIK.86	Lepus_americanus	solo LTR	86	LTR[RELIK(+)]	441	PVJM010001352.1	+	39212	39652	RELiK	2807	2956	20	439	150	206	78.667	7.44	65	2
ERV-RELIK.60-Lepus_americanus-LTR	RELIK	60	ERV	RELIK.60	Lepus_americanus	solo LTR	87	LTR[RELIK(-)]	441	PVJM010067152.1	-	1620	2060	RELiK	2809	2956	26	439	149	119	57.047	1.64	34	3
ERV-RELIK.78-Lepus_americanus-LTR	RELIK	78	ERV	RELIK.78	Lepus_americanus	solo LTR	88	LTR[RELIK(+)]	439	PVJM010053334.1	+	954	1392	RELiK	2797	2880	11	259	84	100	75	4.34	44	1
ERV-RELIK.55-Lepus_americanus-LTR	RELIK	55	ERV	RELIK.55	Lepus_americanus	solo LTR	89	LTR[RELIK(+)]	438	PVJM010086741.1	+	540	977	RELiK	2799	2943	2	409	145	207	79.31	2.77	65	1
ERV-RELIK.67-Lepus_americanus-LTR	RELIK	67	ERV	RELIK.67	Lepus_americanus	solo LTR	90	LTR[RELIK(+)]	433	PVJM010033849.1	+	5425	5857	RELiK	2792	2898	1	294	107	132	71.963	2.82	45	1
ERV-RELIK.63-Lepus_americanus-LTR	RELIK	63	ERV	RELIK.63	Lepus_americanus	solo LTR	91	LTR[RELIK(+)]	431	PVJM010020834.1	+	13886	14316	RELiK	2848	2954	109	429	107	182	89.72	1.59	56	0
ERV-RELIK.92-Lepus_americanus-LTR	RELIK	92	ERV	RELIK.92	Lepus_americanus	solo LTR	92	LTR[RELIK(-)]	429	PVJM010033081.1	-	696	1124	RELiK	2799	2956	2	427	159	214	78.616	6.98	68	3
ERV-RELIK.65-Lepus_americanus-LTR	RELIK	65	ERV	RELIK.65	Lepus_americanus	solo LTR	93	LTR[RELIK(-)]	429	PVJM010014941.1	-	25846	26274	RELiK	2798	2900	3	296	105	107	66.667	3.1	30	3
ERV-RELIK.94-Lepus_americanus-LTR	RELIK	94	ERV	RELIK.94	Lepus_americanus	solo LTR	94	LTR[RELIK(+)]	424	PVJM010011950.1	+	3009	3432	RELiK	73	165	178	423	93	87.8	76.344	8.34	38	1
ERV-RELIK.68-Lepus_americanus-LTR	RELIK	68	ERV	RELIK.68	Lepus_americanus	solo LTR	95	LTR[RELIK(-)]	422	PVJM010003728.1	-	53162	53583	RELiK	2799	2947	2	421	149	184	74.497	3.42	57	2
ERV-RELIK.75-Lepus_americanus-LTR	RELIK	75	ERV	RELIK.75	Lepus_americanus	solo LTR	96	LTR[RELIK(-)]	421	PVJM010008852.1	-	4730	5150	RELiK	2886	2956	240	419	71	90.5	77.465	1.34	29	2
ERV-RELIK.97-Lepus_americanus-LTR	RELIK	97	ERV	RELIK.97	Lepus_americanus	solo LTR	97	LTR[RELIK(+)]	420	PVJM010056499.1	+	1994	2413	RELiK	2808	2953	3	410	159	95.9	50.314	1.73	26	5
ERV-RELIK.98-Lepus_americanus-LTR	RELIK	98	ERV	RELIK.98	Lepus_americanus	solo LTR	98	LTR[RELIK(-)]	416	PVJM010135616.1	-	1016	1431	RELiK	2799	2936	48	416	138	136	65.942	1.13	40	3
ERV-RELIK.99-Lepus_americanus-LTR	RELIK	99	ERV	RELIK.99	Lepus_americanus	solo LTR	99	LTR[RELIK(+)]-LTR[RELIK(+)]	416	PVJM010026269.1	+	2412	2827	RELiK	17	85	3	209	69	82.8	84.058	1.37	34	0
ERV-RELIK.100-Lepus_americanus-LTR	RELIK	100	ERV	RELIK.100	Lepus_americanus	solo LTR	100	LTR[RELIK(-)]	416	PVJM010013491.1	-	33996	34411	RELiK	2824	2943	47	376	120	106	57.5	3.03	30	1
ERV-RELIK.101-Lepus_americanus-LTR	RELIK	101	ERV	RELIK.101	Lepus_americanus	solo LTR	101	LTR[RELIK(+)]	415	PVJM010062494.1	+	3664	4078	RELiK	2799	2897	2	268	99	122	70.707	1.26	35	2
ERV-RELIK.72-Lepus_americanus-LTR	RELIK	72	ERV	RELIK.72	Lepus_americanus	solo LTR	102	LTR[RELIK(-)]	413	PVJM010247098.1	-	1066	1478	RELiK	2799	2900	2	280	102	122	72.549	3.49	51	1
ERV-RELIK.103-Lepus_americanus-LTR	RELIK	103	ERV	RELIK.103	Lepus_americanus	solo LTR	103	LTR[RELIK(+)]	413	PVJM010008286.1	+	22913	23325	RELiK	17	93	3	233	77	127	89.61	1.76	45	0
ERV-RELIK.44-Lepus_americanus-LTR	RELIK	44	ERV	RELIK.44	Lepus_americanus	solo LTR	104	LTR[RELIK(-)]	412	PVJM010056013.1	-	7185	7596	RELiK	2799	2885	2	235	87	96.3	66.667	1.88	40	1
ERV-RELIK.77-Lepus_americanus-LTR	RELIK	77	ERV	RELIK.77	Lepus_americanus	solo LTR	105	LTR[RELIK(+)]	412	PVJM010020826.1	+	216	627	RELiK	2799	2956	2	412	158	94.7	47.468	4.46	26	3
ERV-RELIK.73-Lepus_americanus-LTR	RELIK	73	ERV	RELIK.73	Lepus_americanus	solo LTR	106	LTR[RELIK(-)]	409	PVJM010023172.1	-	23000	23408	RELiK	17	107	3	269	91	100	82.418	3.82	41	1
ERV-RELIK.107-Lepus_americanus-LTR	RELIK	107	ERV	RELIK.107	Lepus_americanus	solo LTR	107	LTR[RELIK(+)]	409	PVJM010030299.1	+	5983	6391	RELiK	2839	2956	90	407	121	131	66.942	5.39	39	3
ERV-RELIK.74-Lepus_americanus-LTR	RELIK	74	ERV	RELIK.74	Lepus_americanus	solo LTR	108	LTR[RELIK(+)]	408	PVJM010022642.1	+	14600	15007	RELiK	2858	2956	110	406	99	139	81.818	7.32	42	0
ERV-RELIK.91-Lepus_americanus-LTR	RELIK	91	ERV	RELIK.91	Lepus_americanus	solo LTR	109	LTR[RELIK(+)]	406	PVJM010447409.1	+	253	658	RELiK	1	121	1	327	125	133	68	1.07	39	4
ERV-RELIK.110-Lepus_americanus-LTR	RELIK	110	ERV	RELIK.110	Lepus_americanus	solo LTR	110	LTR[RELIK(+)]	405	PVJM010400464.1	+	391	795	RELiK	1	124	1	372	124	156	81.452	1.02	47	0
ERV-RELIK.76-Lepus_americanus-LTR	RELIK	76	ERV	RELIK.76	Lepus_americanus	solo LTR	111	LTR[RELIK(+)]	403	PVJM010093631.1	+	1887	2289	RELiK	2809	2956	6	401	150	115	58	1.68	33	5
ERV-RELIK.112-Lepus_americanus-LTR	RELIK	112	ERV	RELIK.112	Lepus_americanus	solo LTR	112	LTR[RELIK(-)]	400	PVJM010013136.1	-	16044	16443	RELiK	2892	2956	204	398	65	90.9	92.308	7.65	25	0
ERV-RELIK.113-Lepus_americanus-LTR	RELIK	113	ERV	RELIK.113	Lepus_americanus	solo LTR	113	LTR[RELIK(-)]	392	PVJM010037320.1	-	15094	15485	RELiK	2842	2956	55	390	127	100	55.906	2.95	28	4
ERV-RELIK.114-Lepus_americanus-LTR	RELIK	114	ERV	RELIK.114	Lepus_americanus	solo LTR	114	LTR[RELIK(-)]	390	PVJM010014105.1	-	27752	28141	RELiK	38	136	1	303	101	148	82.178	5.65	45	1
ERV-RELIK.115-Lepus_americanus-LTR	RELIK	115	ERV	RELIK.115	Lepus_americanus	solo LTR	115	LTR[RELIK(+)]	388	PVJM010031996.1	+	10653	11040	RELiK	2830	2956	6	386	127	155	78.74	1.9	47	0
ERV-RELIK.116-Lepus_americanus-LTR	RELIK	116	ERV	RELIK.116	Lepus_americanus	solo LTR	116	pol[RELIK(-)]	387	PVJM010059666.1	-	4838	5224	RELiK	963	1088	3	380	126	230	91.27	9.68	74	0
ERV-RELIK.12-Lepus_americanus-LTR	RELIK	12	ERV	RELIK.12	Lepus_americanus	solo LTR	117	LTR[RELIK(+)]	385	PVJM010018528.1	+	30231	30615	RELiK	2864	2956	105	383	93	141	83.871	1.04	42	0
ERV-RELIK.118-Lepus_americanus-LTR	RELIK	118	ERV	RELIK.118	Lepus_americanus	solo LTR	118	LTR[RELIK(+)]	382	PVJM010315367.1	+	13	394	RELiK	2829	2956	3	380	128	193	82.812	9.71	61	1
ERV-RELIK.119-Lepus_americanus-LTR	RELIK	119	ERV	RELIK.119	Lepus_americanus	solo LTR	119	gag[RELIK(+)]	381	PVJM010697868.1	+	2	382	RELiK	243	367	2	376	125	231	95.2	5.38	74	0
ERV-RELIK.120-Lepus_americanus-LTR	RELIK	120	ERV	RELIK.120	Lepus_americanus	solo LTR	120	LTR[RELIK(-)]	380	PVJM010033695.1	-	13537	13916	RELiK	2837	2943	26	340	107	156	81.308	6.28	48	1
ERV-RELIK.121-Lepus_americanus-LTR	RELIK	121	ERV	RELIK.121	Lepus_americanus	solo LTR	121	LTR[RELIK(-)]	377	PVJM010326271.1	-	707	1083	RELiK	2832	2956	1	375	125	191	86.4	4.11	60	0
ERV-RELIK.122-Lepus_americanus-LTR	RELIK	122	ERV	RELIK.122	Lepus_americanus	solo LTR	122	LTR[RELIK(+)]	377	PVJM010206028.1	+	1	377	RELiK	2832	2956	1	375	125	192	86.4	1.47	60	0
ERV-RELIK.123-Lepus_americanus-LTR	RELIK	123	ERV	RELIK.123	Lepus_americanus	solo LTR	123	LTR[RELIK(+)]	376	PVJM010011141.1	+	32773	33148	RELiK	37	165	1	375	129	175	76.744	1.73	54	1
ERV-RELIK.124-Lepus_americanus-LTR	RELIK	124	ERV	RELIK.124	Lepus_americanus	solo LTR	124	LTR[RELIK(-)]	374	PVJM010496601.1	-	181	554	RELiK	41	94	3	164	54	86.7	83.333	4.69	34	0
ERV-RELIK.125-Lepus_americanus-LTR	RELIK	125	ERV	RELIK.125	Lepus_americanus	solo LTR	125	LTR[RELIK(+)]	365	PVJM010001734.1	+	21089	21453	RELiK	2837	2956	1	363	123	95.1	61.789	1.67	26	4
ERV-RELIK.126-Lepus_americanus-LTR	RELIK	126	ERV	RELIK.126	Lepus_americanus	solo LTR	126	LTR[RELIK(-)]	361	PVJM010504096.1	-	181	541	RELiK	2895	2956	177	359	62	92.8	85.484	1.18	25	1
ERV-RELIK.127-Lepus_americanus-LTR	RELIK	127	ERV	RELIK.127	Lepus_americanus	solo LTR	127	LTR[RELIK(-)]	359	PVJM010009492.1	-	25650	26008	RELiK	2826	2900	2	226	75	116	84	2.27	50	0
ERV-RELIK.128-Lepus_americanus-LTR	RELIK	128	ERV	RELIK.128	Lepus_americanus	solo LTR	128	LTR[RELIK(+)]	355	PVJM010024501.1	+	10519	10873	RELiK	2829	2954	3	347	128	95.5	58.594	1.08	26	6
ERV-RELIK.129-Lepus_americanus-LTR	RELIK	129	ERV	RELIK.129	Lepus_americanus	solo LTR	129	LTR[RELIK(+)]	355	PVJM010028073.1	+	164	518	RELiK	2853	2956	6	353	116	124	68.103	7.81	37	1
ERV-RELIK.130-Lepus_americanus-LTR	RELIK	130	ERV	RELIK.130	Lepus_americanus	solo LTR	130	LTR[RELIK(-)]	354	PVJM010558919.1	-	108	461	RELiK	49	165	3	353	117	155	87.179	1.73	47	0
ERV-RELIK.131-Lepus_americanus-LTR	RELIK	131	ERV	RELIK.131	Lepus_americanus	solo LTR	131	LTR[RELIK(-)]	353	PVJM010587504.1	-	77	429	RELiK	51	100	9	158	50	82.4	84	1.81	33	0
ERV-RELIK.132-Lepus_americanus-LTR	RELIK	132	ERV	RELIK.132	Lepus_americanus	solo LTR	132	LTR[RELIK(-)]	349	PVJM010074234.1	-	283	631	RELiK	2842	2956	3	347	115	182	87.826	2.63	57	0
ERV-RELIK.133-Lepus_americanus-LTR	RELIK	133	ERV	RELIK.133	Lepus_americanus	solo LTR	133	LTR[RELIK(+)]	341	PVJM010298968.1	+	888	1228	RELiK	8	113	46	339	106	148	79.245	2.46	45	2
ERV-RELIK.134-Lepus_americanus-LTR	RELIK	134	ERV	RELIK.134	Lepus_americanus	solo LTR	134	LTR[RELIK(+)]	334	PVJM010047977.1	+	58	391	RELiK	2848	2956	6	332	109	172	88.073	1.2	53	0
ERV-RELIK.135-Lepus_americanus-LTR	RELIK	135	ERV	RELIK.135	Lepus_americanus	solo LTR	135	LTR[RELIK(-)]	328	PVJM010021665.1	-	9106	9433	RELiK	63	165	19	327	116	99.8	55.172	2.89	28	2
ERV-RELIK.136-Lepus_americanus-LTR	RELIK	136	ERV	RELIK.136	Lepus_americanus	solo LTR	136	LTR[RELIK(-)]	324	PVJM010267184.1	-	1073	1396	RELiK	46	96	1	153	51	89	88.235	1.16	29	0
ERV-RELIK.46-Lepus_americanus-LTR	RELIK	46	ERV	RELIK.46	Lepus_americanus	solo LTR	137	LTR[RELIK(+)]	322	PVJM010026188.1	+	11616	11937	RELiK	2793	2866	4	225	74	94.7	72.973	3.11	33	0
ERV-RELIK.138-Lepus_americanus-LTR	RELIK	138	ERV	RELIK.138	Lepus_americanus	solo LTR	138	LTR[RELIK(+)]	319	PVJM010010672.1	+	7889	8207	RELiK	2853	2956	6	317	104	157	86.538	1.21	48	0
ERV-RELIK.139-Lepus_americanus-LTR	RELIK	139	ERV	RELIK.139	Lepus_americanus	solo LTR	139	LTR[RELIK(+)]	317	PVJM010018683.1	+	4380	4696	RELiK	2883	2956	94	315	74	103	78.378	1.74	29	0
ERV-RELIK.140-Lepus_americanus-LTR	RELIK	140	ERV	RELIK.140	Lepus_americanus	solo LTR	140	LTR[RELIK(-)]	316	PVJM010012127.1	-	19672	19987	RELiK	2855	2941	11	271	87	138	82.759	8.64	42	0
ERV-RELIK.141-Lepus_americanus-LTR	RELIK	141	ERV	RELIK.141	Lepus_americanus	solo LTR	141	LTR[RELIK(+)]	314	PVJM010036787.1	+	592	905	RELiK	2853	2956	1	312	104	168	89.423	1.88	52	0
ERV-RELIK.142-Lepus_americanus-LTR	RELIK	142	ERV	RELIK.142	Lepus_americanus	solo LTR	142	LTR[RELIK(+)]	313	PVJM010004701.1	+	50244	50556	RELiK	2853	2931	1	237	79	121	86.076	7.51	36	0
ERV-RELIK.143-Lepus_americanus-LTR	RELIK	143	ERV	RELIK.143	Lepus_americanus	solo LTR	143	LTR[RELIK(-)]	311	PVJM010018951.1	-	5123	5433	RELiK	2854	2956	1	309	108	107	68.519	6.58	31	2
ERV-RELIK.144-Lepus_americanus-LTR	RELIK	144	ERV	RELIK.144	Lepus_americanus	solo LTR	144	LTR[RELIK(-)]	308	PVJM010318221.1	-	528	835	RELiK	2855	2956	1	306	102	150	83.333	2.5	46	0
ERV-RELIK.145-Lepus_americanus-LTR	RELIK	145	ERV	RELIK.145	Lepus_americanus	solo LTR	145	LTR[RELIK(-)]	308	PVJM010119825.1	-	4059	4366	RELiK	2855	2956	1	306	102	150	83.333	4.23	46	0
ERV-RELIK.146-Lepus_americanus-LTR	RELIK	146	ERV	RELIK.146	Lepus_americanus	solo LTR	146	LTR[RELIK(-)]	303	PVJM010100218.1	-	4059	4361	RELiK	2883	2956	83	301	74	92.8	75.676	2.98	26	1
ERV-RELIK.147-Lepus_americanus-LTR	RELIK	147	ERV	RELIK.147	Lepus_americanus	solo LTR	147	LTR[RELIK(-)]	303	PVJM010620955.1	-	77	379	RELiK	2840	2956	2	301	117	124	67.521	6.08	37	3
ERV-RELIK.148-Lepus_americanus-LTR	RELIK	148	ERV	RELIK.148	Lepus_americanus	solo LTR	148	LTR[RELIK(+)]	302	PVJM010276532.1	+	1	302	RELiK	2904	2956	142	300	53	93.6	92.453	1.07	41	0
ERV-RELIK.149-Lepus_americanus-LTR	RELIK	149	ERV	RELIK.149	Lepus_americanus	solo LTR	149	LTR[RELIK(+)]	301	PVJM010335994.1	+	605	905	RELiK	2858	2956	12	299	99	120	71.717	8.27	36	1
ERV-RELIK.150-Lepus_americanus-LTR	RELIK	150	ERV	RELIK.150	Lepus_americanus	solo LTR	150	LTR[RELIK(+)]	298	PVJM010207845.1	+	1	298	RELiK	2859	2956	3	296	98	161	87.755	5.34	50	0
ERV-RELIK.151-Lepus_americanus-LTR	RELIK	151	ERV	RELIK.151	Lepus_americanus	solo LTR	151	LTR[RELIK(-)]	290	PVJM010895872.1	-	1	290	RELiK	2855	2950	2	289	96	144	89.583	4.51	44	0
ERV-RELIK.152-Lepus_americanus-LTR	RELIK	152	ERV	RELIK.152	Lepus_americanus	solo LTR	152	LTR[RELIK(-)]	283	PVJM010342015.1	-	1	283	RELiK	2829	2923	3	281	95	145	84.211	1.3	44	1
ERV-RELIK.153-Lepus_americanus-LTR	RELIK	153	ERV	RELIK.153	Lepus_americanus	solo LTR	153	LTR[RELIK(-)]	283	PVJM010888181.1	-	1	283	RELiK	2829	2923	3	281	95	150	85.263	1.8	46	1
ERV-RELIK.71-Lepus_americanus-LTR	RELIK	71	ERV	RELIK.71	Lepus_americanus	solo LTR	154	LTR[RELIK(-)]	281	PVJM010051040.1	-	7420	7700	RELiK	2799	2900	2	280	102	123	72.549	7.26	37	1
ERV-RELIK.155-Lepus_americanus-LTR	RELIK	155	ERV	RELIK.155	Lepus_americanus	solo LTR	155	LTR[RELIK(-)]	275	PVJM010961519.1	-	1	275	RELiK	2904	2947	142	273	44	83.6	93.182	5.52	38	0
ERV-RELIK.156-Lepus_americanus-LTR	RELIK	156	ERV	RELIK.156	Lepus_americanus	solo LTR	156	env[RELIK(+)]	270	PVJM010536735.1	+	168	437	RELiK	2572	2657	9	266	86	160	94.186	4.74	50	0
ERV-RELIK.157-Lepus_americanus-LTR	RELIK	157	ERV	RELIK.157	Lepus_americanus	solo LTR	157	LTR[RELIK(-)]	261	PVJM010008577.1	-	2059	2319	RELiK	2871	2956	2	259	86	126	82.558	4.51	38	0
ERV-RELIK.158-Lepus_americanus-LTR	RELIK	158	ERV	RELIK.158	Lepus_americanus	solo LTR	158	gag[RELIK(+)]	255	PVJM010705261.1	+	44	298	RELiK	307	388	2	247	82	137	89.024	5.2	42	0
ERV-RELIK.159-Lepus_americanus-LTR	RELIK	159	ERV	RELIK.159	Lepus_americanus	solo LTR	159	gag[RELIK(+)]	255	PVJM010711750.1	+	40	294	RELiK	307	388	2	247	82	135	87.805	2.6	41	0
ERV-RELIK.160-Lepus_americanus-LTR	RELIK	160	ERV	RELIK.160	Lepus_americanus	solo LTR	160	LTR[RELIK(+)]	226	PVJM010288966.1	+	1	226	RELiK	2904	2956	66	224	53	92	90.566	3.63	26	0
ERV-RELIK.161-Lepus_americanus-LTR	RELIK	161	ERV	RELIK.161	Lepus_americanus	solo LTR	161	LTR[RELIK(+)]	212	PVJM010040334.1	+	15598	15809	RELiK	96	165	2	211	70	119	88.571	8.54	36	0
ERV-RELIK.162-Lepus_americanus-LTR	RELIK	162	ERV	RELIK.162	Lepus_americanus	solo LTR	162	LTR[RELIK(+)]	205	PVJM010580697.1	+	1	205	RELiK	2890	2954	3	197	65	82	84.615	8.63	23	0
ERV-RELIK.163-Lepus_americanus-LTR	RELIK	163	ERV	RELIK.163	Lepus_americanus	solo LTR	163	gag[RELIK(+)]	198	PVJM010659409.1	+	2	199	RELiK	243	307	2	196	65	126	95.385	2.36	38	0
ERV-RELIK.164-Lepus_americanus-LTR	RELIK	164	ERV	RELIK.164	Lepus_americanus	solo LTR	164	gag[RELIK(-)]	198	PVJM010683061.1	-	1	198	RELiK	304	367	2	193	64	115	95.312	1.33	34	0
ERV-RELIK.165-Lepus_americanus-LTR	RELIK	165	ERV	RELIK.165	Lepus_americanus	solo LTR	165	LTR[RELIK(+)]	187	PVJM010119204.1	+	4495	4681	RELiK	2829	2891	3	185	63	96.7	80.952	4.61	28	1
ERV-RELIK.166-Lepus_americanus-LTR	RELIK	166	ERV	RELIK.166	Lepus_americanus	solo LTR	166	LTR[RELIK(+)]	169	PVJM010053464.1	+	7642	7810	RELiK	2904	2956	9	167	53	90.9	90.566	4.55	26	0
ERV-RELIK.167-Lepus_americanus-LTR	RELIK	167	ERV	RELIK.167	Lepus_americanus	solo LTR	167	LTR[RELIK(+)]	167	PVJM010244076.1	+	1142	1308	RELiK	2857	2905	1	147	49	80.1	81.633	2.48	22	0
ERV-RELIK.168-Lepus_americanus-LTR	RELIK	168	ERV	RELIK.168	Lepus_americanus	solo LTR	168	LTR[RELIK(+)]	161	PVJM010019389.1	+	26857	27017	RELiK	2904	2956	1	159	53	97.1	96.226	2.71	28	0
ERV-RELIK.169-Lepus_americanus-LTR	RELIK	169	ERV	RELIK.169	Lepus_americanus	solo LTR	169	LTR[RELIK(+)]	161	PVJM010102590.1	+	914	1074	RELiK	2904	2956	1	159	53	94	94.34	2.7	27	0
ERV-RELIK.170-Lepus_americanus-LTR	RELIK	170	ERV	RELIK.170	Lepus_americanus	solo LTR	170	LTR[RELIK(-)]	157	PVJM010815444.1	-	1	157	RELiK	2840	2891	2	157	52	85.1	82.692	3.45	24	0
ERV-RELIK.171-Lepus_americanus-LTR	RELIK	171	ERV	RELIK.171	Lepus_americanus	solo LTR	171	LTR[RELIK(+)]	152	PVJM010019462.1	+	1294	1445	RELiK	2883	2932	3	152	50	90.9	94	2.97	26	0
ERV-RELIK.1-Lepus_timidus-provirus	RELIK	1	ERV	RELIK.1	Lepus_timidus	provirus	1	pol[RELIK(+)]-env[RELIK(+)]-LTR[RELIK(+)]-LTR[RELIK(+)]-gag[RELIK(+)]-env[RELIK(+)]-env[RELIK(+)]-LTR[RELIK(+)]-LTR[RELIK(+)]	25033	CM019673.1	+	36793786	36818818	RELiK	1	593	11913	13688	593	926	91.231	0	1	1
ERV-RELIK.2-Lepus_timidus-provirus	RELIK	2	ERV	RELIK.2	Lepus_timidus	provirus	2	LTR[RELIK(-)]-LTR[RELIK(-)]	13765	CM019685.1	-	27986469	28000233	RELiK	2824	2900	13484	13714	77	119	81.818	2.4	35	0
ERV-RELIK.3-Lepus_timidus-provirus	RELIK	3	ERV	RELIK.3	Lepus_timidus	provirus	3	LTR[RELIK(-)]-env[RELIK(-)]-pol[RELIK(-)]-LTR[RELIK(-)]	11174	CM019683.1	-	66511769	66522942	RELiK	64	388	3	971	327	483	88.685	0	1	3
ERV-RELIK.4-Lepus_timidus-provirus	RELIK	4	ERV	RELIK.4	Lepus_timidus	provirus	4	LTR[RELIK(-)]-env[RELIK(-)]-env[RELIK(-)]-pol[RELIK(-)]-gag[RELIK(-)]-gag[RELIK(-)]-LTR[RELIK(-)]-LTR[RELIK(-)]	9663	VUAX01000176.1	-	328257	337919	RELiK	967	1584	5141	6994	618	1021	92.718	0	1	0
ERV-RELIK.5-Lepus_timidus-provirus	RELIK	5	ERV	RELIK.5	Lepus_timidus	provirus	5	LTR[RELIK(-)]-env[RELIK(-)]-pol[RELIK(-)]-pol[RELIK(-)]-gag[RELIK(-)]-LTR[RELIK(-)]	9364	CM019681.1	-	112914682	112924045	RELiK	970	1635	3108	5102	684	973	83.772	0	1	9
ERV-RELIK.5-Lepus_timidus-provirus	RELIK	5	ERV	RELIK.5	Lepus_timidus	provirus	6	LTR[RELIK(-)]-env[RELIK(-)]-pol[RELIK(-)]-pol[RELIK(-)]-gag[RELIK(-)]-LEA[RELIK(-)]	8709	VUAX01000538.1	-	2711	11419	RELiK	1002	1281	2495	3337	281	445	87.9	0	1	1
ERV-RELIK.7-Lepus_timidus-provirus	RELIK	7	ERV	RELIK.7	Lepus_timidus	provirus	7	LTR[RELIK(-)]-LTR[RELIK(-)]	8594	CM019670.1	-	151864032	151872625	RELiK	2792	2934	1	399	150	90.5	52	7.2	26	6
ERV-RELIK.8-Lepus_timidus-provirus	RELIK	8	ERV	RELIK.8	Lepus_timidus	provirus	8	pol[RELIK(+)]-pol[RELIK(+)]-env[RELIK(+)]	7769	CM019682.1	+	108239081	108246849	RELiK	239	962	118	2271	724	987	80.525	0	1	2
ERV-RELIK.9-Lepus_timidus-provirus	RELIK	9	ERV	RELIK.9	Lepus_timidus	provirus	9	LEA[RELIK(+)]-gag[RELIK(+)]-pol[RELIK(+)]-env[RELIK(+)]	7304	CM019669.1	+	165000930	165008233	RELiK	804	1081	4834	5655	278	429	92.446	0	1	1
ERV-RELIK.7-Lepus_timidus-provirus	RELIK	7	ERV	RELIK.7	Lepus_timidus	provirus	10	LTR[RELIK(+)]-LTR[RELIK(+)]-gag[RELIK(+)]-rev[RELIK(+)]-LTR[RELIK(+)]	6804	CM019676.1	+	47640458	47647261	RELiK	202	691	805	2271	490	795	89.388	0	1	1
ERV-RELIK.1-Lepus_timidus-provirus	RELIK	1	ERV	RELIK.1	Lepus_timidus	provirus	11	gag[RELIK(+)]-env[RELIK(+)]-env[RELIK(+)]	6748	VUAX01000113.1	+	274573	281320	RELiK	733	1023	1618	2490	294	188	43.197	2.18	84	3
ERV-RELIK.12-Lepus_timidus-provirus	RELIK	12	ERV	RELIK.12	Lepus_timidus	provirus	12	LTR[RELIK(+)]-gag[RELIK(+)]-pol[RELIK(+)]-env[RELIK(+)]-LTR[RELIK(+)]	5447	CM019669.1	+	175992223	175997669	RELiK	240	593	729	1790	354	576	90.96	0	1	0
ERV-RELIK.13-Lepus_timidus-provirus	RELIK	13	ERV	RELIK.13	Lepus_timidus	provirus	13	env[RELIK(+)]-rev[RELIK(+)]-gag[RELIK(+)]	5411	CM019685.1	+	29967409	29972819	RELiK	1975	2521	1700	3334	558	763	79.391	0	1	4
ERV-RELIK.14-Lepus_timidus-provirus	RELIK	14	ERV	RELIK.14	Lepus_timidus	provirus	14	env[RELIK(-)]-pol[RELIK(-)]-pol[RELIK(-)]	4714	VUAX01000176.1	-	297538	302251	RELiK	752	972	1412	2074	221	171	46.606	9.71	82	0
ERV-RELIK.15-Lepus_timidus-provirus	RELIK	15	ERV	RELIK.15	Lepus_timidus	provirus	15	env[RELIK(-)]-env[RELIK(-)]-env[RELIK(-)]-gag[RELIK(-)]-LTR[RELIK(-)]	4550	CM019680.1	-	105336720	105341269	RELiK	75	410	3	1091	379	110	35.092	5.3	51	11
ERV-RELIK.16-Lepus_timidus-provirus	RELIK	16	ERV	RELIK.16	Lepus_timidus	provirus	16	env[RELIK(-)]-pol[RELIK(-)]-LTR[RELIK(-)]	4354	CM019680.1	-	60812455	60816808	RELiK	445	981	1138	2760	567	229	40.564	3.72	139	14
ERV-RELIK.4-Lepus_timidus-provirus	RELIK	4	ERV	RELIK.4	Lepus_timidus	provirus	17	pol[RELIK(-)]-gag[RELIK(-)]-LTR[RELIK(-)]	4187	CM019681.1	-	88990318	88994504	RELiK	504	964	1629	3005	461	587	73.536	0	1	1
ERV-RELIK.18-Lepus_timidus-provirus	RELIK	18	ERV	RELIK.18	Lepus_timidus	provirus	18	pol[RELIK(-)]	3498	VUAX01000235.1	-	1244341	1247838	RELiK	273	1080	2	2401	824	937	71.602	0	1	10
