sequenceID	record_ID	organism	virus_subgenus	virus_clade	assigned_name	assigned_gene	target_datatype	target_version	target_name	probe_type	scaffold	extract_start	extract_end	sequence_length	orientation	bitscore	identity	evalue_num	evalue_exp	subject_start	subject_end	query_start	query_end	align_len	gap_openings	mismatches
3186507_Lepus_timidus	3186507	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	VUAX01000338.1	200035	200143	109	-	169	94.495	2	46	47	155	1	109	109	0	6
3186512_Lepus_timidus	3186512	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	VUAX01000388.1	60266	60732	467	-	556	88.936	2	162	47	494	1	467	470	9	27
3186502_Lepus_timidus	3186502	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	VUAX01000529.1	12413	12910	498	-	702	92.169	0	1	1	496	1	498	498	1	37
3186471_Lepus_timidus	3186471	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	VUAX01000538.1	2711	3028	318	-	383	88.401	2	110	178	496	1	318	319	1	36
3186422_Lepus_timidus	3186422	Lepus_timidus	Non-primate	Lagomorph	RELIK	env	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	ORF	VUAX01000538.1	3190	3516	327	-	81	97.436	3	29	765	803	1	117	39	0	1
3240722_Lepus_timidus	3240722	Lepus_timidus	Non-primate	Lagomorph	RELIK	pol	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	ORF	VUAX01000538.1	3965	6408	2444	-	417	92.105	7	132	792	1019	1	663	228	3	11
3241006_Lepus_timidus	3241006	Lepus_timidus	Non-primate	Lagomorph	RELIK	pol	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	ORF	VUAX01000538.1	7660	11084	3425	-	469	88.276	0	1	364	652	2134	3000	290	2	32
3171811_Lepus_timidus	3171811	Lepus_timidus	Non-primate	Lagomorph	RELIK	gag	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	ORF	VUAX01000538.1	11149	11322	174	-	112	93.103	2	32	1	58	1	174	58	0	4
3186551_Lepus_timidus	3186551	Lepus_timidus	Non-primate	Lagomorph	RELIK	LEA	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	VUAX01000538.1	11323	11419	97	-	132	91	2	35	1	100	1	97	100	1	6
3186445_Lepus_timidus	3186445	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	VUAX01003350.1	7714	8202	489	-	665	91.129	0	1	1	496	1	489	496	2	37
3462589_Microcebus_griseorufus	3462589	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	UTR	VSMI01016508.1	8431	8850	420	+	723	97.636	0	1	1	423	1	420	423	2	7
3462502_Microcebus_griseorufus	3462502	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	rev	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	ORF	VSMI01016508.1	8432	8701	270	+	115	94.545	2	35	93	147	83	247	55	0	3
3964323_Microcebus_griseorufus	3964323	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	gag	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	ORF	VSMI01016508.1	8919	10100	1182	+	526	90.444	0	1	59	351	200	1078	293	0	28
3462597_Microcebus_griseorufus	3462597	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	UTR	VSMI01066237.1	6877	7296	420	+	678	95.745	0	1	1	423	1	420	423	3	15
3462510_Microcebus_griseorufus	3462510	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	rev	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	ORF	VSMI01066237.1	6878	7147	270	+	97	85.455	2	28	93	147	83	247	55	0	8
3462603_Microcebus_griseorufus	3462603	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	UTR	VSMI01070157.1	2997	3418	422	-	686	95.981	0	1	1	423	1	422	423	1	16
3462512_Microcebus_griseorufus	3462512	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	rev	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	ORF	VSMI01070157.1	3146	3417	272	-	159	92.771	8	53	65	147	1	249	83	0	6
3462598_Microcebus_griseorufus	3462598	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	UTR	VSMI01086649.1	32080	32502	423	-	665	95.047	0	1	1	423	1	423	424	2	19
3462509_Microcebus_griseorufus	3462509	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	rev	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	ORF	VSMI01086649.1	32230	32501	272	-	150	89.157	2	49	65	147	1	249	83	0	9
3462497_Microcebus_griseorufus	3462497	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	rev	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	ORF	VSMI01132181.1	29874	30146	273	+	115	68.478	9	36	64	155	1	273	92	1	28
3462604_Microcebus_griseorufus	3462604	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	UTR	VSMI01132181.1	29876	30295	420	+	590	91.962	1	172	1	423	1	420	423	2	31
3462588_Microcebus_griseorufus	3462588	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	UTR	VSMI01144141.1	9404	9780	377	-	538	92.368	5	157	44	423	1	377	380	2	26
3462606_Microcebus_griseorufus	3462606	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	UTR	VSMI01158221.1	1165	1427	263	-	278	94.944	8	79	246	423	88	263	178	2	7
3986668_Microcebus_griseorufus	3986668	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	pol	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	ORF	VSMI01178616.1	3	6338	6336	+	1767	96.744	0	1	104	1054	916	3771	952	1	30
3462600_Microcebus_griseorufus	3462600	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	UTR	VSMI01178616.1	6068	6480	413	+	689	96.454	0	1	1	423	1	413	423	3	5
3462594_Microcebus_griseorufus	3462594	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	UTR	VSMI01183987.1	37893	38312	420	+	590	91.962	1	172	1	423	1	420	423	2	31
3462495_Microcebus_griseorufus	3462495	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	rev	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	ORF	VSMI01183987.1	37894	38157	264	+	111	65.169	4	34	65	153	1	264	89	1	30
3462601_Microcebus_griseorufus	3462601	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	UTR	VSMI01190802.1	10960	11379	420	+	689	96.217	0	1	1	423	1	420	423	2	13
3462504_Microcebus_griseorufus	3462504	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	rev	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	ORF	VSMI01190802.1	10961	11230	270	+	105	89.091	6	32	93	147	83	247	55	0	6
3462599_Microcebus_griseorufus	3462599	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	UTR	VSMI01202246.1	8366	8787	422	-	686	95.981	0	1	1	423	1	422	423	1	16
3462505_Microcebus_griseorufus	3462505	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	rev	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	ORF	VSMI01202246.1	8515	8786	272	-	153	90.361	1	50	65	147	1	249	83	0	8
3462587_Microcebus_griseorufus	3462587	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	UTR	VSMI01222554.1	3293	3714	422	-	608	92.706	4	178	1	423	1	422	425	4	26
3462605_Microcebus_griseorufus	3462605	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	UTR	VSMI01252309.1	3987	4406	420	+	568	91.017	7	166	1	423	1	420	423	2	35
3462494_Microcebus_griseorufus	3462494	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	rev	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	ORF	VSMI01252309.1	3988	4257	270	+	112	64.835	3	34	65	155	1	270	91	1	31
3462593_Microcebus_griseorufus	3462593	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	UTR	VSMI01257546.1	395	816	422	+	675	95.508	0	1	1	423	1	422	423	1	18
3462496_Microcebus_griseorufus	3462496	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	rev	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	ORF	VSMI01257546.1	396	644	249	+	149	89.157	6	49	65	147	1	249	83	0	9
3462591_Microcebus_griseorufus	3462591	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	UTR	VSMI01305316.1	4572	4965	394	-	479	88.278	3	139	6	423	1	394	418	4	25
3462592_Microcebus_griseorufus	3462592	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	UTR	VSMI01332051.1	2686	3105	420	-	612	92.908	3	179	1	423	1	420	423	2	27
3462506_Microcebus_griseorufus	3462506	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	rev	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	ORF	VSMI01332051.1	2835	3104	270	-	102	67.033	2	30	65	155	1	270	91	1	29
3462595_Microcebus_griseorufus	3462595	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	UTR	VSMI01347163.1	919	1346	428	-	658	94.651	0	1	1	423	1	428	430	3	14
3462501_Microcebus_griseorufus	3462501	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	rev	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	ORF	VSMI01347163.1	1098	1345	248	-	116	88.889	3	36	85	147	60	248	63	0	7
3462590_Microcebus_griseorufus	3462590	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	UTR	VSMI01422719.1	14229	14650	422	-	702	96.69	0	1	1	423	1	422	423	1	13
3462500_Microcebus_griseorufus	3462500	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	rev	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	ORF	VSMI01422719.1	14378	14649	272	-	158	92.771	2	52	65	147	1	249	83	0	6
3462602_Microcebus_griseorufus	3462602	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	UTR	VSMI01433890.1	28145	28566	422	-	691	96.217	0	1	1	423	1	422	423	1	15
3462507_Microcebus_griseorufus	3462507	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	rev	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	ORF	VSMI01433890.1	28294	28571	278	-	165	94.118	3	55	63	147	1	255	85	0	5
3462596_Microcebus_griseorufus	3462596	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	UTR	VSMI01475791.1	982	1400	419	+	684	95.981	0	1	1	423	1	419	423	3	13
3462503_Microcebus_griseorufus	3462503	Microcebus_griseorufus	Non-primate	Lemur	pSIVgml	rev	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	ORF	VSMI01475791.1	983	1252	270	+	107	90.909	1	32	93	147	83	247	55	0	5
3462613_Microcebus_mittermeieri	3462613	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	UTR	VSMH01020143.1	6642	7057	416	-	564	91.017	9	165	1	423	1	416	423	3	31
3462519_Microcebus_mittermeieri	3462519	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	rev	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	ORF	VSMH01020143.1	6814	7056	243	-	131	80.723	4	42	65	147	1	243	83	1	14
3462622_Microcebus_mittermeieri	3462622	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	UTR	VSMH01024043.1	7916	8337	422	+	708	96.927	0	1	1	423	1	422	423	1	12
3462523_Microcebus_mittermeieri	3462523	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	rev	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	ORF	VSMH01024043.1	7917	8165	249	+	164	93.976	5	55	65	147	1	249	83	0	5
3462619_Microcebus_mittermeieri	3462619	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	UTR	VSMH01032380.1	1	247	247	-	381	94.378	6	110	1	249	1	247	249	1	12
3462520_Microcebus_mittermeieri	3462520	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	rev	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	ORF	VSMH01032380.1	1	246	246	-	89	81.818	2	25	65	119	1	165	55	0	10
3462623_Microcebus_mittermeieri	3462623	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	UTR	VSMH01041193.1	4025	4401	377	-	632	96.842	0	1	44	423	1	377	380	3	9
3462531_Microcebus_mittermeieri	3462531	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	rev	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	ORF	VSMH01041193.1	4174	4413	240	-	114	94.545	2	35	93	147	53	217	55	0	3
3462617_Microcebus_mittermeieri	3462617	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	UTR	VSMH01087423.1	26774	27195	422	-	586	91.765	2	171	1	423	1	422	425	4	30
3462615_Microcebus_mittermeieri	3462615	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	UTR	VSMH01122924.1	392	813	422	-	697	96.454	0	1	1	423	1	422	423	1	14
3462526_Microcebus_mittermeieri	3462526	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	rev	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	ORF	VSMH01122924.1	541	812	272	-	159	92.771	5	53	65	147	1	249	83	0	6
3462610_Microcebus_mittermeieri	3462610	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	UTR	VSMH01157547.1	22188	22609	422	-	686	95.981	0	1	1	423	1	422	423	1	16
3462530_Microcebus_mittermeieri	3462530	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	rev	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	ORF	VSMH01157547.1	22337	22614	278	-	166	94.118	1	55	63	147	1	255	85	0	5
3462626_Microcebus_mittermeieri	3462626	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	UTR	VSMH01158022.1	967	1367	401	-	584	92.435	7	171	1	423	1	401	423	3	10
3462529_Microcebus_mittermeieri	3462529	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	rev	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	ORF	VSMH01158022.1	1115	1366	252	-	105	94.118	6	32	97	147	77	229	51	0	3
3462609_Microcebus_mittermeieri	3462609	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	UTR	VSMH01167361.1	25481	25901	421	-	697	96.454	0	1	1	423	1	421	423	2	13
3462528_Microcebus_mittermeieri	3462528	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	rev	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	ORF	VSMH01167361.1	25653	25903	251	-	138	84.706	10	45	64	148	1	243	85	2	9
3462621_Microcebus_mittermeieri	3462621	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	UTR	VSMH01214626.1	56296	56718	423	+	676	95.519	0	1	1	423	1	423	424	2	17
3462516_Microcebus_mittermeieri	3462516	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	rev	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	ORF	VSMH01214626.1	56297	56545	249	+	152	90.361	2	50	65	147	1	249	83	0	8
3462515_Microcebus_mittermeieri	3462515	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	rev	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	ORF	VSMH01231222.1	8421	8672	252	+	164	94.048	8	55	64	147	1	252	84	0	5
3462625_Microcebus_mittermeieri	3462625	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	UTR	VSMH01231222.1	8423	8843	421	+	708	96.927	0	1	1	423	1	421	423	2	11
3462524_Microcebus_mittermeieri	3462524	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	rev	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	ORF	VSMH01232432.1	1517	1867	351	-	109	91.228	6	36	93	149	83	253	57	0	5
3462616_Microcebus_mittermeieri	3462616	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	UTR	VSMH01232432.1	1555	1868	314	-	507	95.597	1	147	1	318	1	314	318	3	10
3462618_Microcebus_mittermeieri	3462618	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	UTR	VSMH01266826.1	2291	2710	420	+	628	93.617	0	1	1	423	1	420	423	2	24
3462513_Microcebus_mittermeieri	3462513	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	rev	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	ORF	VSMH01266826.1	2292	2561	270	+	100	67.033	9	30	65	155	1	270	91	1	29
3462607_Microcebus_mittermeieri	3462607	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	UTR	VSMH01345205.1	16823	17244	422	-	719	97.4	0	1	1	423	1	422	423	1	10
3918862_Microcebus_mittermeieri	3918862	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	env	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	ORF	VSMH01345205.1	16972	17972	1001	-	377	92.411	2	128	400	623	34	705	224	0	17
3462514_Microcebus_mittermeieri	3462514	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	rev	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	ORF	VSMH01346981.1	1472	1666	195	+	124	92.308	10	40	64	128	1	195	65	0	5
3462612_Microcebus_mittermeieri	3462612	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	UTR	VSMH01346981.1	1474	1667	194	+	331	97.423	4	95	1	194	1	194	194	0	5
3462611_Microcebus_mittermeieri	3462611	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	UTR	VSMH01410802.1	1612	2031	420	-	628	93.617	0	1	1	423	1	420	423	2	24
3462518_Microcebus_mittermeieri	3462518	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	rev	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	ORF	VSMH01410802.1	1761	2030	270	-	100	67.033	9	30	65	155	1	270	91	1	29
3462608_Microcebus_mittermeieri	3462608	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	UTR	VSMH01413430.1	2022	2441	420	-	701	96.69	0	1	1	423	1	420	423	2	11
3462525_Microcebus_mittermeieri	3462525	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	rev	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	ORF	VSMH01413430.1	2171	2440	270	-	107	90.909	2	32	93	147	83	247	55	0	5
3462614_Microcebus_mittermeieri	3462614	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	UTR	VSMH01414533.1	1	194	194	-	331	97.423	4	95	1	194	1	194	194	0	5
3462522_Microcebus_mittermeieri	3462522	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	rev	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	ORF	VSMH01414533.1	2	196	195	-	124	92.308	10	40	64	128	1	195	65	0	5
3462620_Microcebus_mittermeieri	3462620	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	UTR	VSMH01504059.1	37162	37582	421	-	691	96.217	0	1	1	423	1	421	423	2	14
3462527_Microcebus_mittermeieri	3462527	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	rev	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	ORF	VSMH01504059.1	37303	37581	279	-	161	87.097	1	53	65	154	1	279	93	1	9
3462624_Microcebus_mittermeieri	3462624	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	LTR	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	UTR	VSMH01510833.1	4295	4705	411	-	632	94.09	0	1	1	423	1	411	423	3	13
3462517_Microcebus_mittermeieri	3462517	Microcebus_mittermeieri	Non-primate	Lemur	pSIVgml	rev	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	ORF	VSMH01510833.1	4444	4704	261	-	164	91.209	7	55	65	155	1	261	91	1	4
2973317_Microcebus_murinus	2973317	Microcebus_murinus	Non-primate	Lemur	pSIVgml	LTR	low_coverage	goldenpath_micMur1	micMur1.fa_4.fa	UTR	scaffold_11115	4081	4500	420	-	601	92.435	7	176	1	423	1	420	423	2	29
1944977_Microcebus_murinus	1944977	Microcebus_murinus	Non-primate	Lemur	pSIVgml	rev	low_coverage	goldenpath_micMur1	micMur1.fa_4.fa	ORF	scaffold_11115	4230	4502	273	-	114	68.478	2	35	64	155	1	273	92	1	28
2973323_Microcebus_murinus	2973323	Microcebus_murinus	Non-primate	Lemur	pSIVgml	LTR	low_coverage	goldenpath_micMur1	micMur1.fa_6.fa	UTR	scaffold_153662	2	119	118	+	169	92.373	2	46	306	423	1	118	118	0	9
2973313_Microcebus_murinus	2973313	Microcebus_murinus	Non-primate	Lemur	pSIVgml	LTR	low_coverage	goldenpath_micMur1	micMur1.fa_2.fa	UTR	scaffold_1644	25943	26362	420	-	684	95.981	0	1	1	423	1	420	423	2	14
1944976_Microcebus_murinus	1944976	Microcebus_murinus	Non-primate	Lemur	pSIVgml	rev	low_coverage	goldenpath_micMur1	micMur1.fa_2.fa	ORF	scaffold_1644	26092	26361	270	-	102	87.273	1	30	93	147	83	247	55	0	7
2973314_Microcebus_murinus	2973314	Microcebus_murinus	Non-primate	Lemur	pSIVgml	LTR	low_coverage	goldenpath_micMur1	micMur1.fa_3.fa	UTR	scaffold_3075	114032	114119	88	+	141	95.455	3	38	6	93	1	88	88	0	4
2973319_Microcebus_murinus	2973319	Microcebus_murinus	Non-primate	Lemur	pSIVgml	LTR	low_coverage	goldenpath_micMur1	micMur1.fa_5.fa	UTR	scaffold_33011	5773	6156	384	+	678	98.45	0	1	1	387	1	384	387	2	3
1944981_Microcebus_murinus	1944981	Microcebus_murinus	Non-primate	Lemur	pSIVgml	rev	low_coverage	goldenpath_micMur1	micMur1.fa_5.fa	ORF	scaffold_33011	5774	6043	270	+	114	94.545	4	35	93	147	83	247	55	0	3
2663849_Microcebus_murinus	2663849	Microcebus_murinus	Non-primate	Lemur	pSIVgml	pol	low_coverage	goldenpath_micMur1	micMur1.fa_5.fa	ORF	scaffold_33011	7963	10193	2231	+	706	98.663	0	1	583	956	1113	2231	374	1	4
2973318_Microcebus_murinus	2973318	Microcebus_murinus	Non-primate	Lemur	pSIVgml	LTR	low_coverage	goldenpath_micMur1	micMur1.fa_5.fa	UTR	scaffold_33974	7895	8317	423	+	610	92.723	1	178	1	423	1	423	426	5	25
1944980_Microcebus_murinus	1944980	Microcebus_murinus	Non-primate	Lemur	pSIVgml	rev	low_coverage	goldenpath_micMur1	micMur1.fa_5.fa	ORF	scaffold_33974	7896	8165	270	+	103	69.231	7	31	65	155	1	270	91	1	27
